Router=14,12
Router=10,29
Router=8,53
Router=14,61
Router=10,76
Router=26,29
Router=23,54
Router=26,81
Router=38,51
Router=40,75
Router=54,28
Router=55,50
Router=56,71
Router=52,86
Router=73,32
Router=71,48
Router=71,73
Router=69,90
Router=94,11
Router=90,33
Router=86,48
Router=82,58
Router=86,73
Router=81,88
Edge=0,1,10
Edge=0,5,13
Edge=1,2,14
Edge=2,4,13
Edge=2,3,4
Edge=3,4,10
Edge=1,5,12
Edge=2,6,13
Edge=3,6,11
Edge=4,7,15
Edge=5,6,13
Edge=6,7,15
Edge=5,10,24
Edge=5,8,15
Edge=6,8,13
Edge=7,9,12
Edge=8,9,13
Edge=8,10,18
Edge=8,11,13
Edge=9,12,12
Edge=9,13,11
Edge=10,11,12
Edge=11,12,12
Edge=12,13,9
Edge=10,18,33
Edge=10,14,17
Edge=11,15,13
Edge=12,16,14
Edge=13,17,15
Edge=14,15,8
Edge=15,16,13
Edge=16,17,10
Edge=14,19,17
Edge=15,20,13
Edge=15,21,10
Edge=16,21,11
Edge=16,22,13
Edge=17,23,12
Edge=18,19,15
Edge=19,20,9
Edge=20,21,4
Edge=21,22,8
Edge=22,23,12
