Router=7,7
Router=7,24
Router=7,41
Router=7,58
Router=7,75
Router=7,92
Router=24,7
Router=24,24
Router=24,41
Router=24,58
Router=24,75
Router=24,92
Router=41,7
Router=41,24
Router=41,41
Router=41,58
Router=41,75
Router=41,92
Router=58,7
Router=58,24
Router=58,41
Router=58,58
Router=58,75
Router=58,92
Router=75,7
Router=75,24
Router=75,41
Router=75,58
Router=75,75
Router=75,92
Router=92,7
Router=92,24
Router=92,41
Router=92,58
Router=92,75
Router=92,92
Edge=0,1,8
Edge=1,2,8
Edge=2,3,8
Edge=3,4,8
Edge=4,5,8
Edge=6,7,8
Edge=7,8,8
Edge=8,9,8
Edge=9,10,8
Edge=10,11,8
Edge=12,13,8
Edge=13,14,8
Edge=14,15,8
Edge=15,16,8
Edge=16,17,8
Edge=18,19,8
Edge=19,20,8
Edge=20,21,8
Edge=21,22,8
Edge=22,23,8
Edge=24,25,8
Edge=25,26,8
Edge=26,27,8
Edge=27,28,8
Edge=28,29,8
Edge=30,31,8
Edge=31,32,8
Edge=32,33,8
Edge=33,34,8
Edge=34,35,8
Edge=0,6,8
Edge=1,7,8
Edge=2,8,8
Edge=3,9,8
Edge=4,10,8
Edge=5,11,8
Edge=6,12,8
Edge=7,13,8
Edge=8,14,8
Edge=9,15,8
Edge=10,16,8
Edge=11,17,8
Edge=12,18,8
Edge=13,19,8
Edge=14,20,8
Edge=15,21,8
Edge=16,22,8
Edge=17,23,8
Edge=18,24,8
Edge=19,25,8
Edge=20,26,8
Edge=21,27,8
Edge=22,28,8
Edge=23,29,8
Edge=24,30,8
Edge=25,31,8
Edge=26,32,8
Edge=27,33,8
Edge=28,34,8
Edge=29,35,8
