Router=50,50
Router=50,102
Router=50,154
Router=50,206
Router=50,258
Router=50,310
Router=50,362
Router=50,414
Router=130,50
Router=130,102
Router=130,154
Router=130,206
Router=130,258
Router=130,310
Router=130,362
Router=130,414
Router=210,50
Router=210,102
Router=210,154
Router=210,206
Router=210,258
Router=210,310
Router=210,362
Router=210,414
Router=290,50
Router=290,102
Router=290,154
Router=290,206
Router=290,258
Router=290,310
Router=290,362
Router=290,414
Router=370,50
Router=370,102
Router=370,154
Router=370,206
Router=370,258
Router=370,310
Router=370,362
Router=370,414
Router=450,50
Router=450,102
Router=450,154
Router=450,206
Router=450,258
Router=450,310
Router=450,362
Router=450,414
Router=530,50
Router=530,102
Router=530,154
Router=530,206
Router=530,258
Router=530,310
Router=530,362
Router=530,414
Router=610,50
Router=610,102
Router=610,154
Router=610,206
Router=610,258
Router=610,310
Router=610,362
Router=610,414
Edge=0,1,8
Edge=1,2,8
Edge=2,3,8
Edge=3,4,8
Edge=4,5,8
Edge=5,6,8
Edge=6,7,8
Edge=8,9,8
Edge=9,10,8
Edge=10,11,8
Edge=11,12,8
Edge=12,13,8
Edge=13,14,8
Edge=14,15,8
Edge=16,17,8
Edge=17,18,8
Edge=18,19,8
Edge=19,20,8
Edge=20,21,8
Edge=21,22,8
Edge=22,23,8
Edge=24,25,8
Edge=25,26,8
Edge=26,27,8
Edge=27,28,8
Edge=28,29,8
Edge=29,30,8
Edge=30,31,8
Edge=32,33,8
Edge=33,34,8
Edge=34,35,8
Edge=35,36,8
Edge=36,37,8
Edge=37,38,8
Edge=38,39,8
Edge=40,41,8
Edge=41,42,8
Edge=42,43,8
Edge=43,44,8
Edge=44,45,8
Edge=45,46,8
Edge=46,47,8
Edge=48,49,8
Edge=49,50,8
Edge=50,51,8
Edge=51,52,8
Edge=52,53,8
Edge=53,54,8
Edge=54,55,8
Edge=56,57,8
Edge=57,58,8
Edge=58,59,8
Edge=59,60,8
Edge=60,61,8
Edge=61,62,8
Edge=62,63,8
Edge=0,8,8
Edge=8,16,8
Edge=16,24,8
Edge=24,32,8
Edge=32,40,8
Edge=40,48,8
Edge=48,56,8
Edge=1,9,8
Edge=9,17,8
Edge=17,25,8
Edge=25,33,8
Edge=33,41,8
Edge=41,49,8
Edge=49,57,8
Edge=2,10,8
Edge=10,18,8
Edge=18,26,8
Edge=26,34,8
Edge=34,42,8
Edge=42,50,8
Edge=50,58,8
Edge=3,11,8
Edge=11,19,8
Edge=19,27,8
Edge=27,35,8
Edge=35,43,8
Edge=43,51,8
Edge=51,59,8
Edge=4,12,8
Edge=12,20,8
Edge=20,28,8
Edge=28,36,8
Edge=36,44,8
Edge=44,52,8
Edge=52,60,8
Edge=5,13,8
Edge=13,21,8
Edge=21,29,8
Edge=29,37,8
Edge=37,45,8
Edge=45,53,8
Edge=53,61,8
Edge=6,14,8
Edge=14,22,8
Edge=22,30,8
Edge=30,38,8
Edge=38,46,8
Edge=46,54,8
Edge=54,62,8
Edge=7,15,8
Edge=15,23,8
Edge=23,31,8
Edge=31,39,8
Edge=39,47,8
Edge=47,55,8
Edge=55,63,8
