Router=100,50
Router=75,150
Router=50,250
Router=125,375
Router=175,250
Router=275,275
Router=275,400
Router=335,275
Router=395,250
Router=450,100
Router=450,225
Router=450,400
Router=525,75
Router=525,250
Router=600,175
Router=600,50
Edge=0,1,3
Edge=1,2,17
Edge=1,3,25
Edge=2,3,10
Edge=0,4,23
Edge=1,8,44
Edge=2,4,15
Edge=3,6,30
Edge=4,9,33
Edge=4,5,11
Edge=5,6,23
Edge=5,7,10
Edge=6,13,29
Edge=6,11,16
Edge=7,8,10
Edge=8,10,10
Edge=9,12,9
Edge=9,14,12
Edge=9,10,6
Edge=10,14,7
Edge=10,11,14
Edge=12,15,7
Edge=12,13,7
Edge=13,14,4
Edge=14,15,5
